,row_ids,cat_describe,cat_age,cat_sex,cat_neutered,cat_feed,cat_feed_freq,cat_time_out,cat_stay,cat_hunt,cat_hunt,cat_hunt_freq,cat_time
323,samyamee_19,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,No,,,
324,samyamee_21,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,Yes,,,
325,samyamee_24,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Have not observed,,,
326,samyamee_27,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,Yes,,,
327,samyamee_34,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
328,samyamee_38,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Have not observed,,,
329,samyamee_41,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
330,samyamee_43,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,Yes,,,
331,samyamee_48,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
332,samyamee_49,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
333,samyamee_51,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
334,samyamee_52,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
335,samyamee_73,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,Yes,,,
336,samyamee_81,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
337,samyamee_83,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
338,samyamee_88,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
339,samyamee_89,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Junior (7 months - 2 years),Male,Not neutered,,Thrice a day,5-7 hours,Outside,Yes,,Once in 15 days,20-40 minutes
340,samyamee_102,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
341,samyamee_104,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Kitten (0-6 months),,Not neutered,,Thrice a day,,At home,Yes,,,
342,samyamee_106,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,Yes,,,
343,samyamee_107,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
344,samyamee_111,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
345,samyamee_113,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
346,samyamee_116,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,Yes,,,
347,samyamee_120,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
348,hindi_5,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,Yes,,,
349,hindi_14,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
350,hindi_20,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
351,hindi_25,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,Yes,,,
352,hindi_30,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",Junior (7 months - 2 years),Female,Not neutered,"Home-cooked food or leftovers (rice, eggs, milk, curd, etc.)",Thrice a day,>10 hours,At home,Yes,,,>4 hours
353,hindi_31,"Indoor-outdoor cat (the cat wanders outside on its own, but you feed it and look after it when it is sick)",,,,,,,,No,,,
354,hindi_33,Completely indoor cat (always stays at home and does not go out on its own),,,,,,,,No,,,
